,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,miles city,76,ID,1578281917,76,-5.67,132.75,84.42,11.16
1,scottsburgh,76,ID,1578281917,76,-5.67,132.75,84.42,11.16
2,margate,76,ID,1578281919,76,-5.67,132.75,84.42,11.16
3,nome,76,ID,1578281919,76,-5.67,132.75,84.42,11.16
4,ushuaia,76,ID,1578281919,76,-5.67,132.75,84.42,11.16
5,vaini,76,ID,1578281923,76,-5.67,132.75,84.42,11.16
6,cururupu,76,ID,1578281924,76,-5.67,132.75,84.42,11.16
7,jamestown,76,ID,1578281924,76,-5.67,132.75,84.42,11.16
8,avarua,76,ID,1578281919,76,-5.67,132.75,84.42,11.16
9,sao joao da barra,76,ID,1578281917,76,-5.67,132.75,84.42,11.16
10,port hardy,76,ID,1578281917,76,-5.67,132.75,84.42,11.16
11,marcona,76,ID,1578281923,76,-5.67,132.75,84.42,11.16
12,yalchiki,76,ID,1578281917,76,-5.67,132.75,84.42,11.16
13,jalu,76,ID,1578281919,76,-5.67,132.75,84.42,11.16
14,albany,76,ID,1578281917,76,-5.67,132.75,84.42,11.16
15,bambous virieux,76,ID,1578281917,76,-5.67,132.75,84.42,11.16
16,verkhoyansk,76,ID,1578281919,76,-5.67,132.75,84.42,11.16
17,rikitea,76,ID,1578281923,76,-5.67,132.75,84.42,11.16
18,khatanga,76,ID,1578281924,76,-5.67,132.75,84.42,11.16
19,punta arenas,76,ID,1578281923,76,-5.67,132.75,84.42,11.16
20,nikolskoye,76,ID,1578281923,76,-5.67,132.75,84.42,11.16
21,arlit,76,ID,1578281923,76,-5.67,132.75,84.42,11.16
22,mataura,76,ID,1578281924,76,-5.67,132.75,84.42,11.16
23,san luis,76,ID,1578281924,76,-5.67,132.75,84.42,11.16
24,necochea,76,ID,1578281923,76,-5.67,132.75,84.42,11.16
25,constitucion,76,ID,1578281923,76,-5.67,132.75,84.42,11.16
26,qaanaaq,76,ID,1578281917,76,-5.67,132.75,84.42,11.16
27,taolanaro,76,ID,1578281923,76,-5.67,132.75,84.42,11.16
28,karasjok,76,ID,1578281923,76,-5.67,132.75,84.42,11.16
29,balasheyka,76,ID,1578281917,76,-5.67,132.75,84.42,11.16
30,illoqqortoormiut,76,ID,1578281923,76,-5.67,132.75,84.42,11.16
31,bluff,76,ID,1578281923,76,-5.67,132.75,84.42,11.16
32,borisoglebsk,76,ID,1578281923,76,-5.67,132.75,84.42,11.16
33,yellowknife,76,ID,1578281924,76,-5.67,132.75,84.42,11.16
34,chuy,76,ID,1578281923,76,-5.67,132.75,84.42,11.16
35,longyearbyen,76,ID,1578281924,76,-5.67,132.75,84.42,11.16
36,mar del plata,76,ID,1578281917,76,-5.67,132.75,84.42,11.16
37,kruisfontein,76,ID,1578281923,76,-5.67,132.75,84.42,11.16
38,honningsvag,76,ID,1578281917,76,-5.67,132.75,84.42,11.16
39,baicheng,76,ID,1578281924,76,-5.67,132.75,84.42,11.16
40,port alfred,76,ID,1578281924,76,-5.67,132.75,84.42,11.16
41,pangai,76,ID,1578281923,76,-5.67,132.75,84.42,11.16
42,attawapiskat,76,ID,1578281923,76,-5.67,132.75,84.42,11.16
43,luganville,76,ID,1578281923,76,-5.67,132.75,84.42,11.16
44,provideniya,76,ID,1578281924,76,-5.67,132.75,84.42,11.16
45,georgetown,76,ID,1578281924,76,-5.67,132.75,84.42,11.16
46,lao cai,76,ID,1578281923,76,-5.67,132.75,84.42,11.16
47,kapaa,76,ID,1578281919,76,-5.67,132.75,84.42,11.16
48,rosario,76,ID,1578281917,76,-5.67,132.75,84.42,11.16
49,mogadishu,76,ID,1578281919,76,-5.67,132.75,84.42,11.16
50,ambovombe,76,ID,1578281924,76,-5.67,132.75,84.42,11.16
51,blyznyuky,76,ID,1578281924,76,-5.67,132.75,84.42,11.16
52,weihe,76,ID,1578281917,76,-5.67,132.75,84.42,11.16
53,touros,76,ID,1578281923,76,-5.67,132.75,84.42,11.16
54,hermanus,76,ID,1578281917,76,-5.67,132.75,84.42,11.16
55,ambodifototra,76,ID,1578281917,76,-5.67,132.75,84.42,11.16
56,khonuu,76,ID,1578281919,76,-5.67,132.75,84.42,11.16
57,jiddah,76,ID,1578281924,76,-5.67,132.75,84.42,11.16
58,cidreira,76,ID,1578281923,76,-5.67,132.75,84.42,11.16
59,ust-nera,76,ID,1578281924,76,-5.67,132.75,84.42,11.16
60,puerto palomas,76,ID,1578281919,76,-5.67,132.75,84.42,11.16
61,porto novo,76,ID,1578281917,76,-5.67,132.75,84.42,11.16
62,silvi,76,ID,1578281924,76,-5.67,132.75,84.42,11.16
63,ostersund,76,ID,1578281919,76,-5.67,132.75,84.42,11.16
64,faanui,76,ID,1578281919,76,-5.67,132.75,84.42,11.16
65,los llanos de aridane,76,ID,1578281917,76,-5.67,132.75,84.42,11.16
66,peniche,76,ID,1578281919,76,-5.67,132.75,84.42,11.16
67,barrow,76,ID,1578281919,76,-5.67,132.75,84.42,11.16
68,fortuna,76,ID,1578281924,76,-5.67,132.75,84.42,11.16
69,wanganui,76,ID,1578281919,76,-5.67,132.75,84.42,11.16
70,nioro,76,ID,1578281919,76,-5.67,132.75,84.42,11.16
71,saint-philippe,76,ID,1578281923,76,-5.67,132.75,84.42,11.16
72,erzin,76,ID,1578281924,76,-5.67,132.75,84.42,11.16
73,leh,76,ID,1578281924,76,-5.67,132.75,84.42,11.16
74,kilindoni,76,ID,1578281917,76,-5.67,132.75,84.42,11.16
75,jimenez,76,ID,1578281924,76,-5.67,132.75,84.42,11.16
76,bathsheba,76,ID,1578281917,76,-5.67,132.75,84.42,11.16
77,chake chake,76,ID,1578281924,76,-5.67,132.75,84.42,11.16
78,cockburn town,76,ID,1578281924,76,-5.67,132.75,84.42,11.16
79,mandalgovi,76,ID,1578281924,76,-5.67,132.75,84.42,11.16
80,isangel,76,ID,1578281924,76,-5.67,132.75,84.42,11.16
81,alofi,76,ID,1578281923,76,-5.67,132.75,84.42,11.16
82,maniitsoq,76,ID,1578281919,76,-5.67,132.75,84.42,11.16
