,City,Country,Date,Cloudiness,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Changde,CN,2020-01-07,95,71,29.04,111.68,47.08,2.91
1,Dunedin,NZ,2020-01-07,7,72,-45.87,170.5,52.23,19.62
2,Punta Arenas,CL,2020-01-07,90,81,-53.16,-70.91,51.8,8.05
3,Baruun-Urt,MN,2020-01-07,0,86,46.68,113.28,7.39,6.13
4,Airai,TL,2020-01-07,51,49,-8.93,125.41,83.25,5.77
5,Xining,CN,2020-01-07,10,38,36.62,101.77,28.67,5.21
6,Fort Dodge,US,2020-01-07,75,100,42.5,-94.17,32.0,9.17
7,Saint-Philippe,CA,2020-01-07,90,92,45.36,-73.48,32.0,4.7
8,Roald,NO,2020-01-07,40,65,62.58,6.12,46.4,20.8
9,Juba,EE,2020-01-07,100,93,57.82,26.93,36.0,6.93
10,Bluff,AU,2020-01-07,100,37,-23.58,149.07,89.31,12.19
11,Ushuaia,AR,2020-01-07,75,58,-54.81,-68.31,57.2,16.11
12,Butaritari,KI,2020-01-07,100,76,3.07,172.79,85.3,16.24
13,Maunabo,PR,2020-01-07,75,78,18.01,-65.9,77.0,8.05
14,Ribeira Grande,PT,2020-01-07,100,94,38.52,-28.7,61.21,16.26
15,Rikitea,PF,2020-01-07,21,78,-23.12,-134.97,77.16,15.32
16,San Patricio,PY,2020-01-07,1,95,-26.98,-56.83,68.92,4.36
17,Guerrero Negro,MX,2020-01-07,0,42,27.97,-114.04,60.26,2.84
18,Cape Town,ZA,2020-01-07,96,64,-33.93,18.42,70.0,5.82
19,Ilulissat,GL,2020-01-07,100,57,69.22,-51.1,-7.6,18.34
20,Busselton,AU,2020-01-07,0,16,-33.64,115.35,93.0,15.03
21,Livny,RU,2020-01-07,22,87,52.43,37.61,21.83,1.99
22,Vaini,IN,2020-01-07,40,65,15.34,74.49,80.6,9.17
23,Carnarvon,ZA,2020-01-07,82,52,-30.97,22.13,70.68,15.59
24,Hithadhoo,MV,2020-01-07,100,78,-0.6,73.08,83.7,15.21
25,Dingle,PH,2020-01-07,71,82,11.0,122.67,80.15,10.51
26,Kahului,US,2020-01-07,1,69,20.89,-156.47,75.2,11.41
27,Provideniya,RU,2020-01-07,91,91,64.42,-173.23,-10.41,1.74
28,Lebu,ET,2020-01-07,40,71,8.96,38.73,59.74,2.59
29,Port Hardy,CA,2020-01-07,90,86,50.7,-127.42,41.0,11.41
30,Najran,SA,2020-01-07,0,63,17.54,44.22,60.8,6.93
31,Kaabong,UG,2020-01-07,7,53,3.51,34.14,74.93,13.56
32,Bandarbeyla,SO,2020-01-07,47,80,9.49,50.81,78.91,18.88
33,Witu,KE,2020-01-07,70,79,-2.39,40.44,83.97,7.92
34,Bethel,US,2020-01-07,1,75,60.79,-161.76,-16.6,9.17
35,Port Alfred,ZA,2020-01-07,84,94,-33.59,26.89,71.01,5.99
36,Nicholasville,US,2020-01-07,90,74,37.88,-84.57,37.99,3.36
37,Caravelas,BR,2020-01-07,47,94,-17.73,-39.27,72.7,7.85
38,Saint George,GR,2020-01-07,40,68,39.45,22.34,37.0,6.93
39,Jinchang,CN,2020-01-07,22,49,38.52,102.19,25.21,6.29
40,Yumen,CN,2020-01-07,17,43,40.29,97.04,27.18,12.77
41,Gizo,IL,2020-01-07,20,54,31.8,34.94,57.2,12.75
42,Sulangan,PH,2020-01-07,56,75,11.14,123.72,81.1,8.3
43,Nikolskoye,RU,2020-01-07,90,96,59.7,30.79,35.6,6.71
44,Bahia Blanca,AR,2020-01-07,0,38,-38.72,-62.27,60.76,11.45
45,Puerto Ayora,EC,2020-01-07,25,82,-0.74,-90.35,75.99,3.0
46,Magdagachi,RU,2020-01-07,18,94,53.45,125.8,-3.62,3.22
47,Mbarara,UG,2020-01-07,100,79,-0.61,30.65,66.56,1.57
48,Luena,AO,2020-01-07,100,97,-11.78,19.91,63.84,4.16
49,Gimli,CA,2020-01-07,28,74,50.63,-96.99,12.99,21.0
50,Taoudenni,ML,2020-01-07,0,29,22.68,-3.98,45.5,4.61
51,Bredasdorp,ZA,2020-01-07,75,64,-34.53,20.04,71.6,11.41
52,Laguna,BZ,2020-01-07,90,100,16.17,-88.94,68.0,2.04
53,Shimoda,JP,2020-01-07,75,81,34.7,138.93,55.4,13.87
54,Hobart,AU,2020-01-07,75,63,-42.88,147.33,71.01,14.99
55,Tuatapere,NZ,2020-01-07,97,76,-46.13,167.69,55.0,13.0
56,Grindavik,IS,2020-01-07,90,97,63.84,-22.43,32.0,29.97
57,Hualmay,PE,2020-01-07,35,89,-11.1,-77.61,66.02,3.67
58,Atuona,PF,2020-01-07,55,70,-9.8,-139.03,80.98,11.56
59,Bilma,NE,2020-01-07,18,31,18.69,12.92,48.24,14.63
60,Jamestown,AU,2020-01-07,0,27,-33.21,138.6,86.9,1.88
61,Chuy,UY,2020-01-07,21,86,-33.69,-53.46,64.74,5.75
62,Mount Gambier,AU,2020-01-07,40,36,-37.83,140.78,80.6,14.99
63,Thompson,CA,2020-01-07,90,83,55.74,-97.86,-7.6,9.17
64,Hilo,US,2020-01-07,90,61,19.71,-155.08,78.8,6.93
65,Ponta do Sol,BR,2020-01-07,0,92,-20.63,-46.0,65.73,0.89
66,Pisco,PE,2020-01-07,64,88,-13.71,-76.2,69.8,5.82
67,Dikson,RU,2020-01-07,100,96,73.51,80.55,5.7,4.94
68,Biltine,TD,2020-01-07,0,24,14.53,20.93,66.38,6.73
69,Mataura,NZ,2020-01-07,84,76,-46.19,168.86,55.0,13.0
70,Kyzyl-Suu,KG,2020-01-07,95,67,42.34,78.0,27.79,4.0
71,Salalah,OM,2020-01-07,0,65,17.01,54.1,80.6,6.93
72,Olinda,AU,2020-01-07,90,82,-37.84,145.39,69.01,16.11
73,Avarua,CK,2020-01-07,20,88,-21.21,-159.78,78.8,2.24
74,Albany,US,2020-01-07,75,59,42.65,-73.75,35.01,14.99
75,Tuktoyaktuk,CA,2020-01-07,5,73,69.44,-133.03,-29.2,9.17
76,Puri,ID,2020-01-07,52,68,-7.54,112.45,86.95,8.68
77,Saldanha,PT,2020-01-07,100,79,41.42,-6.55,35.28,3.2
78,Hermanus,ZA,2020-01-07,97,77,-34.42,19.24,70.0,14.0
79,Lokosovo,RU,2020-01-07,96,94,61.13,74.84,8.04,8.1
80,Bowen,AU,2020-01-07,100,66,-20.01,148.25,84.2,11.41
81,Scottsbluff,US,2020-01-07,1,68,41.87,-103.67,37.4,8.05
82,Bambous Virieux,MU,2020-01-07,40,79,-20.34,57.76,86.0,6.93
83,Kaeo,NZ,2020-01-07,100,68,-35.1,173.78,64.99,1.01
84,Gilgit,PK,2020-01-07,100,90,35.92,74.31,15.73,4.0
85,Doha,QA,2020-01-07,0,60,25.29,51.53,68.0,9.17
86,Beringovskiy,RU,2020-01-07,8,92,63.05,179.32,-12.71,9.1
87,Kungurtug,RU,2020-01-07,0,70,50.6,97.53,9.97,2.19
88,Tias,ES,2020-01-07,20,77,28.96,-13.65,64.4,9.17
89,Anan,JP,2020-01-07,75,76,33.91,134.64,59.0,16.11
90,Barrow,AR,2020-01-07,0,74,-38.31,-60.23,54.63,8.12
91,Hamilton,CA,2020-01-07,20,73,43.26,-79.87,33.01,8.05
92,Saint-Augustin,CA,2020-01-07,90,92,45.63,-73.98,27.0,7.76
93,Georgetown,GY,2020-01-07,63,94,6.8,-58.16,71.6,4.7
94,Ville-Marie,CA,2020-01-07,90,72,47.33,-79.44,14.0,13.87
95,Mar del Plata,AR,2020-01-07,85,45,-46.43,-67.52,66.72,18.03
96,Buraydah,SA,2020-01-07,40,66,26.33,43.97,53.6,11.41
97,Nantucket,US,2020-01-07,1,80,41.28,-70.1,39.0,5.82
98,Prince George,CA,2020-01-07,90,84,53.92,-122.75,16.0,3.36
99,Alofi,NU,2020-01-07,0,94,-19.06,-169.92,78.8,3.36
100,New Norfolk,AU,2020-01-07,75,63,-42.78,147.06,71.01,14.99
101,Sandwick,GB,2020-01-07,100,93,54.57,-2.89,48.99,19.46
102,Banda Aceh,ID,2020-01-07,3,49,5.56,95.32,88.2,9.31
103,Upernavik,GL,2020-01-07,100,97,72.79,-56.15,-7.29,6.69
104,Jalu,LY,2020-01-07,14,76,29.03,21.55,46.17,12.77
105,Tasiilaq,GL,2020-01-07,100,95,65.61,-37.64,21.24,21.72
106,Marawi,PH,2020-01-07,100,82,8.0,124.29,81.0,4.0
107,Baherden,TM,2020-01-07,63,54,38.44,57.43,42.98,7.38
108,Husavik,CA,2020-01-07,28,74,50.56,-96.99,12.99,21.0
109,Akropong,GH,2020-01-07,13,69,5.97,-0.09,77.0,5.82
110,Luderitz,NA,2020-01-07,58,77,-26.65,15.16,64.4,13.87
111,Kushima,JP,2020-01-07,75,60,31.5,131.29,68.0,17.22
112,Pacific Grove,US,2020-01-07,1,75,36.62,-121.92,52.0,3.36
113,Kharp,RU,2020-01-07,63,95,66.82,65.8,-2.42,6.4
114,Kapaa,US,2020-01-07,90,88,22.08,-159.32,75.2,17.22
115,East London,ZA,2020-01-07,75,94,-33.02,27.91,71.6,8.05
116,Komsomolskiy,RU,2020-01-07,100,93,67.55,63.78,7.07,17.16
117,Vestmannaeyjar,IS,2020-01-07,75,86,63.44,-20.27,37.4,39.15
118,Khatanga,RU,2020-01-07,96,92,71.98,102.47,4.84,10.83
119,Cherskiy,RU,2020-01-07,0,74,68.75,161.3,-17.45,6.4
120,Gardendale,US,2020-01-07,1,47,32.03,-102.33,35.6,3.36
121,Lufilufi,WS,2020-01-07,17,81,-13.87,-171.6,82.18,17.25
122,Almeirim,BR,2020-01-07,93,98,-1.53,-52.58,73.18,2.82
123,Puerto Carreno,CO,2020-01-07,0,66,6.19,-67.49,73.27,7.02
124,Coruripe,BR,2020-01-07,24,82,-10.12,-36.18,76.96,9.95
125,Vila Franca do Campo,PT,2020-01-07,75,93,37.72,-25.43,64.4,4.7
126,Del Rio,US,2020-01-07,1,33,29.36,-100.9,57.2,9.17
127,Northam,AU,2020-01-07,0,17,-31.65,116.67,91.4,14.99
128,Semme,FR,2020-01-07,90,100,46.2,1.5,41.0,4.7
129,Pathein,MM,2020-01-07,0,54,16.78,94.73,83.07,7.49
130,Mackay,CA,2020-01-07,90,85,53.65,-115.58,17.6,2.28
131,Kuryk,KZ,2020-01-07,18,72,43.18,51.68,41.07,21.05
132,Wilkie,CA,2020-01-07,1,83,52.41,-108.71,-8.0,4.7
133,Lorengau,PG,2020-01-07,50,73,-2.02,147.27,84.87,8.63
134,Chokurdakh,RU,2020-01-07,0,89,70.62,147.9,-22.09,3.83
135,Aldan,RU,2020-01-07,100,91,58.61,125.39,12.79,20.65
136,Denpasar,ID,2020-01-07,40,83,-8.65,115.22,84.2,13.87
137,Kalmunai,LK,2020-01-07,74,78,7.42,81.82,82.36,18.37
138,Touros,BR,2020-01-07,40,94,-5.2,-35.46,75.2,4.7
139,Yellowknife,CA,2020-01-07,40,74,62.45,-114.38,-25.01,5.82
140,Port Lincoln,AU,2020-01-07,0,49,-34.72,135.86,74.01,10.69
141,Berlevag,NO,2020-01-07,100,85,70.86,29.09,28.4,10.29
142,Anadyr,RU,2020-01-07,0,74,64.73,177.51,-22.0,6.71
143,Riyadh,SA,2020-01-07,0,76,24.63,46.72,51.8,7.81
144,Baykit,RU,2020-01-07,98,95,61.68,96.39,7.38,3.02
145,Chicama,PE,2020-01-07,10,88,-7.84,-79.15,68.0,5.82
146,Taywarah,AF,2020-01-07,0,80,33.35,64.42,16.72,4.63
147,Gotsu,JP,2020-01-07,75,68,35.01,132.22,64.4,18.34
148,Yulara,AU,2020-01-07,100,31,-25.24,130.99,91.4,10.29
149,Tiksi,RU,2020-01-07,100,86,71.64,128.87,-3.32,11.88
150,Gadwal,IN,2020-01-07,38,51,16.23,77.79,82.62,9.51
151,Lethem,GY,2020-01-07,0,57,3.38,-59.8,76.48,10.25
152,Kaitangata,NZ,2020-01-07,0,59,-46.28,169.85,55.0,10.0
153,Almaznyy,RU,2020-01-07,75,93,48.03,40.04,35.6,13.42
154,Vostok,RU,2020-01-07,90,89,46.45,135.83,19.62,1.81
155,Obo,CF,2020-01-07,91,25,5.39,26.49,73.98,7.78
156,Coquimbo,CL,2020-01-07,0,67,-29.95,-71.34,62.6,4.7
157,Aykhal,RU,2020-01-07,90,92,65.95,111.51,12.2,4.47
158,Seredka,RU,2020-01-07,91,94,58.06,38.14,23.77,6.73
159,Celestun,MX,2020-01-07,14,73,20.87,-90.4,72.79,15.12
160,Pimenta Bueno,BR,2020-01-07,90,96,-11.68,-61.19,72.1,3.06
161,Raudeberg,NO,2020-01-07,40,87,61.99,5.14,45.0,17.22
162,Castro,CL,2020-01-07,90,87,-42.48,-73.76,53.6,11.41
163,Tigil,RU,2020-01-07,0,77,57.8,158.67,3.34,3.76
164,Churapcha,RU,2020-01-07,100,96,62.0,132.43,5.31,5.17
165,Ramachandrapuram,IN,2020-01-07,1,65,16.83,82.03,78.8,12.75
166,Nanortalik,GL,2020-01-07,61,71,60.14,-45.24,16.77,42.12
167,Mitsamiouli,KM,2020-01-07,34,76,-11.38,43.28,82.81,7.09
168,Kachug,RU,2020-01-07,90,92,53.96,105.89,14.36,1.66
